Trial  Epoch   LepIsoRank  MetPhiRank  MLLRank  ScoreRank  StatsScore     MLLKS     MetPhiKS  LepIsoKS  SortKey
73     52000   5070        532         2796     6705       824.275682     0.140695  0.011645  0.388029  3328.000000
13     53500   13330       3139        196      8495       1212.786921    0.071190  0.030525  0.663022  3335.000000
50     27500   5761        1690        1656     1449       233.308472     0.119460  0.020733  0.406600  3346.000000
51     4000    13230       608         2759     11606      2244.483022    0.140070  0.012492  0.657800  3367.000000
26     58000   63          2207        1161     2147       274.645332     0.108131  0.024232  0.190700  3368.000000
29     46500   6883        1651        1724     12416      2678.529489    0.120839  0.020363  0.436238  3375.000000
81     9500    14966       1451        1940     14059      4347.390087    0.125016  0.018905  0.827823  3391.000000
45     53000   12514       2970        454      15671      25905.772317   0.085491  0.029396  0.618300  3424.000000
89     53000   10310       124         3323     14361      4879.079954    0.148713  0.007627  0.534881  3447.000000
71     73000   9608        917         2537     10103      1664.779161    0.136169  0.014916  0.512300  3454.000000
56     91000   12342       301         3167     14439      5044.955103    0.146435  0.009613  0.610234  3468.000000
58     88500   7137        1126        2343     7435       975.934328     0.132794  0.016450  0.442942  3469.000000
56     93000   8556        1216        2258     14609      5483.824097    0.131118  0.017121  0.482124  3474.000000
24     78500   15553       3035        441      15066      7327.605864    0.085069  0.029807  0.991900  3476.000000
86     83000   14076       1710        1769     13440      3526.289246    0.121757  0.020840  0.717560  3479.000000
57     95500   8035        3124        355      6981       879.598491     0.080782  0.030428  0.467800  3479.000000
11     84500   9136        2917        569      12299      2606.746308    0.090081  0.028979  0.498984  3486.000000
79     49000   176         2678        810      4609       468.344082     0.098033  0.027276  0.207900  3488.000000
64     51000   5325        2567        927      5416       585.544699     0.101476  0.026545  0.395000  3494.000000
11     28000   8445        377         3119     11086      2020.210013    0.145713  0.010217  0.479061  3496.000000
29     32000   7407        2267        1232     14894      6459.368531    0.109839  0.024595  0.450600  3499.000000
24     38000   14772       3389        111      13446      3529.796949    0.063215  0.032145  0.796322  3500.000000
30     20500   3306        1499        2003     7278       941.611293     0.126047  0.019268  0.338955  3502.000000
68     60500   6217        2517        1007     9778       1558.438599    0.103589  0.026147  0.418588  3524.000000
86     91500   10196       2131        1407     12239      2570.699190    0.113917  0.023688  0.531234  3538.000000
55     78500   10579       2294        1250     4767       491.158801     0.110330  0.024741  0.542900  3544.000000
38     86000   1048        2015        1534     405        159.414627     0.116988  0.022912  0.264100  3549.000000
83     29500   3207        1408        2143     6110       703.909014     0.128839  0.018586  0.336316  3551.000000
68     52500   10743       1088        2470     7695       1032.919677    0.135152  0.016188  0.548100  3558.000000
53     89500   499         919         2645     2839       314.884227     0.137985  0.014917  0.235400  3564.000000
86     48000   15348       14          3551     12698      2869.060304    0.152313  0.005287  0.914600  3565.000000
27     49000   325         1858        1709     3012       326.756967     0.120551  0.021875  0.223567  3567.000000
81     70500   9015        3304        266      8089       1114.174993    0.075770  0.031568  0.495200  3570.000000
